date,neo_id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,is_sentry_object,close_approach_date,close_approach_date_full,relative_velocity_kph,relative_velocity_kps,miss_distance_km,miss_distance_lunar,miss_distance_au,orbiting_body,nasa_jpl_url
2020-06-28,2665326,2665326,665326 (2009 EF3),21.57,0.1289896833,0.2884297004,False,False,2020-06-28,2020-Jun-28 03:41,75337.6923714373,20.9271367698,69218571.97336099,179.989357453,0.462697577,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2665326
2020-06-28,3451019,3451019,(2009 EF3),21.57,0.1289896833,0.2884297004,False,False,2020-06-28,2020-Jun-28 03:41,75337.6925304828,20.927136814,69218571.988320777,179.9893574919,0.4626975771,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3451019
2020-06-28,3760588,3760588,(2016 TP18),24.78,0.0294140602,0.0657718381,False,False,2020-06-28,2020-Jun-28 01:01,84225.0560842012,23.3958489123,12989116.561061979,33.7756569813,0.0868268817,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3760588
2020-06-29,3837524,3837524,(2018 YM2),24.7,0.0305179233,0.0682401509,False,False,2020-06-29,2020-Jun-29 15:49,73050.3371450261,20.2917603181,72040688.66758194,187.327719918,0.481562262,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837524
2020-06-29,3751531,3751531,(2016 GG216),23.15,0.0623096019,0.1393285055,False,False,2020-06-29,2020-Jun-29 19:11,62444.0968859632,17.3455824683,73167499.557616212,190.2577712364,0.4890945276,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3751531
2020-06-29,3367150,3367150,(2007 BE49),21.47,0.1350687798,0.3020229733,False,False,2020-06-29,2020-Jun-29 21:54,102295.8678507563,28.4155188474,58364535.032351057,151.7655574079,0.3901428211,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3367150
2020-06-30,3986685,3986685,(2020 AP3),26.6,0.0127219879,0.0284472297,False,False,2020-06-30,2020-Jun-30 06:39,23168.0588080924,6.4355718911,35668616.344314102,92.7492601194,0.2384299746,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3986685
2020-06-30,3827435,3827435,(2018 RD4),28.5,0.0053034072,0.0118587791,False,False,2020-06-30,2020-Jun-30 01:53,64179.3422565155,17.8275950713,64175476.741651438,166.8757747186,0.4289865674,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3827435
2020-06-30,3799247,3799247,(2018 CC1),23.5,0.0530340723,0.1185877909,False,False,2020-06-30,2020-Jun-30 11:03,70995.6138778103,19.7210038549,71011481.322091746,184.6514675262,0.4746824358,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3799247
2020-06-30,3797863,3797863,(2018 BN3),20.36,0.2251930467,0.5035469604,False,False,2020-06-30,2020-Jun-30 23:00,50045.8561117078,13.9016266977,51010933.699781627,132.6439554869,0.3409870321,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3797863
2020-06-30,3605335,3605335,(2012 KF47),21.07,0.1623883902,0.3631114793,False,False,2020-06-30,2020-Jun-30 06:01,43216.5032241185,12.0045842289,25272929.998430184,65.7173111448,0.1689391032,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3605335
2020-06-30,3720000,3720000,(2015 KT120),25.1,0.0253837029,0.0567596853,False,False,2020-06-30,2020-Jun-30 21:32,29733.6138651157,8.2593371848,36627527.306616195,95.2427205165,0.2448398985,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3720000
